va_closer_id,mkt_channel
1,Paid Search
None,none
16,Paid Social
17,Email Commerce
2,Organic Search
3,Display
5,Affiliate
4,Email
6,Direct
7,Session Refresh
9,Referring Domain
8,Organic Social
0,none
10,none
11,none
18,SMS
19,Partnerships
15,none
